name,memory usage(MB)
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,263136
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,263624
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,394732
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,393816
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,392792
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,393816
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,393816
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,393756
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,393816
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,393816
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,393816
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,393816
OMP_NUM_THREADS=4 tc.aot -g20 -n300,262756
OMP_NUM_THREADS=4 tc.aot -g20 -n300,262672
OMP_NUM_THREADS=4 tc.aot -g20 -n300,262756
OMP_NUM_THREADS=4 tc.aot -g20 -n300,262756
OMP_NUM_THREADS=4 tc.aot -g20 -n300,263632
OMP_NUM_THREADS=4 tc.aot -g20 -n300,262080
OMP_NUM_THREADS=4 tc.aot -g20 -n300,262756
OMP_NUM_THREADS=4 tc.aot -g20 -n300,262756
