name,aot,pure.aot,stack.aot,ckpt-every-dirty.aot,ckpt-loop.aot,ckpt-loop-dirty.aot
OMP_NUM_THREADS=1 bc.aot -g20 -vn300,323.152811,323.152811,279.796384,279.796384,355.40529,434.689572
OMP_NUM_THREADS=1 bfs.aot -g20 -vn300,74.16518,74.16518,62.167992,62.167992,77.207588,88.56518
OMP_NUM_THREADS=1 cc.aot -g20 -vn300,134.119155,134.119155,110.216663,110.216663,139.206263,159.530592
OMP_NUM_THREADS=1 cc_sv.aot -g20 -vn300,175.264863,175.264863,186.144251,186.144251,196.988476,239.400409
OMP_NUM_THREADS=1 pr.aot -g20 -vn300,210.587771,210.587771,188.169157,188.169157,253.010977,228.003097
OMP_NUM_THREADS=1 pr_spmv.aot -g20 -vn300,185.517594,185.517594,178.751871,178.751871,229.561618,212.737272
OMP_NUM_THREADS=1 sssp.aot -g20 -vn300,252.969914,252.969914,246.402566,246.402566,316.733045,387.168169
OMP_NUM_THREADS=1 tc.aot -g20 -n1,48.489634,48.489634,29.881035,29.881035,37.415762,38.354918
OMP_NUM_THREADS=1 bt.aot,56.89909,48.137656,50.222577,50.222577,58.898057,61.212617
OMP_NUM_THREADS=1 cg.aot,24.412837,20.948442,21.658964,21.658964,35.472218,39.132246
OMP_NUM_THREADS=1 ep.aot,0.002434,0.002017,0.002152,0.002152,0.002259,0.00112
OMP_NUM_THREADS=1 ft.aot,35.977617,40.743295,39.605921,39.605921,84.185494,83.649818
OMP_NUM_THREADS=1 lu.aot,0.045066,0.044102,0.0313,0.0313,0.037366,0.034468
OMP_NUM_THREADS=1 mg.aot,22.26322,19.659268,19.140591,19.140591,40.509674,38.073912
OMP_NUM_THREADS=1 sp.aot,7.865384,3.139919,5.540717,5.540717,7.264193,7.710061
OMP_NUM_THREADS=1 redis.aot,20.533998,8.019865,15.51726,15.51726,20.62757,23.131462
a=b hdastar.aot maze-6404.txt 8,10.464631,7.392301,7.191872,7.191872,10.409401,7.894778
OMP_NUM_THREADS=1 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,25.837071,26.738099,24.923856,24.923856,29.165012,28.439733
OMP_NUM_THREADS=1 bc.aot -g20 -vn300,314.501501,314.501501,273.900725,273.900725,360.837865,426.278387
OMP_NUM_THREADS=1 bfs.aot -g20 -vn300,78.481072,78.481072,62.32406,62.32406,76.636029,90.845622
OMP_NUM_THREADS=1 cc.aot -g20 -vn300,133.390783,133.390783,111.557558,111.557558,138.117748,164.813666
OMP_NUM_THREADS=1 cc_sv.aot -g20 -vn300,182.906579,182.906579,163.099766,163.099766,191.588166,242.322348
OMP_NUM_THREADS=1 pr.aot -g20 -vn300,209.683275,209.683275,196.469089,196.469089,246.69717,231.663868
OMP_NUM_THREADS=1 pr_spmv.aot -g20 -vn300,184.60817,184.60817,189.745193,189.745193,229.564299,211.29861
OMP_NUM_THREADS=1 sssp.aot -g20 -vn300,250.441204,250.441204,250.598474,250.598474,330.9731,390.616741
OMP_NUM_THREADS=1 tc.aot -g20 -n1,47.987218,47.987218,29.907979,29.907979,39.354687,36.597246
OMP_NUM_THREADS=1 bt.aot,53.207902,47.620866,52.146854,52.146854,59.069318,56.237051
OMP_NUM_THREADS=1 cg.aot,24.004543,20.580296,23.613196,23.613196,35.818493,37.025575
OMP_NUM_THREADS=1 ep.aot,0.001468,0.001022,0.001316,0.001316,0.002222,0.00226
OMP_NUM_THREADS=1 ft.aot,40.800166,41.823841,37.977687,37.977687,83.176892,90.67427
OMP_NUM_THREADS=1 lu.aot,0.044778,0.030765,0.032874,0.032874,0.035267,0.047967
OMP_NUM_THREADS=1 mg.aot,20.860895,19.084838,19.060223,19.060223,36.923657,37.850105
OMP_NUM_THREADS=1 sp.aot,8.151102,4.250997,4.950717,4.950717,9.241186,7.087115
OMP_NUM_THREADS=1 redis.aot,21.246748,7.883218,15.798874,15.798874,20.591897,24.042566
a=b hdastar.aot maze-6404.txt 8,11.010384,7.52467,7.889078,7.889078,8.587365,9.419011
OMP_NUM_THREADS=1 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,26.537821,25.196114,25.694055,25.694055,27.503037,27.666747
OMP_NUM_THREADS=1 bc.aot -g20 -vn300,318.564071,318.564071,272.166234,272.166234,368.351506,425.000584
OMP_NUM_THREADS=1 bfs.aot -g20 -vn300,72.494651,72.494651,63.986772,63.986772,76.251307,90.021781
